id,Reviews,Categories,Polarities
32,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,价格,正面
32,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,使用体验,正面
32,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,成分,正面
33,还不错还不错,整体,正面
34,产品非常好，值得购买，质量过硬,整体,正面
35,不错媳妇用着挺好的,整体,正面
36,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续,功效,正面
36,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续,使用体验,正面
37,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。,整体,正面
37,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。,服务,正面
38,用着舒服，补水效果也不错，价格实惠，以后还会光顾,使用体验,正面
38,用着舒服，补水效果也不错，价格实惠，以后还会光顾,功效,正面
38,用着舒服，补水效果也不错，价格实惠，以后还会光顾,价格,正面
39,好用，性价比很高,整体,正面
39,好用，性价比很高,价格,正面
40,很温和的一款洗面奶，不紧崩，很好,整体,正面
40,很温和的一款洗面奶，不紧崩，很好,使用体验,正面
41,不错，很好，物超所值，**值得信赖！,整体,正面
42,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评,物流,正面
42,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评,整体,正面
43,好评  **买东西速度快  有保证好评  **买东西速度快  有保证,物流,正面
43,好评  **买东西速度快  有保证好评  **买东西速度快  有保证,整体,正面
44,小小一瓶，不过看起来还不错，使用以后再来追加,尺寸,负面
44,小小一瓶，不过看起来还不错，使用以后再来追加,整体,正面
45,不错哦。速度很快，~。以后就买****的了。,物流,正面
45,不错哦。速度很快，~。以后就买****的了。,整体,正面
46,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。,整体,正面
47,买了就直接降价20，真的是差评差评，太坑了。,整体,负面
48,刚收到货 还没用开始味道还好 到时在评论,气味,正面
49,用了还不错，店家还送了两瓶卸妆水也很好哦,整体,正面
50,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！,整体,正面
50,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！,价格,正面
51,快递挺快的，用了一片了，目前没有过敏,物流,正面
51,快递挺快的，用了一片了，目前没有过敏,使用体验,正面
52,多次购买了，效果不错哦，价格便宜,价格,正面
52,多次购买了，效果不错哦，价格便宜,整体,正面
53,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,成分,正面
53,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,功效,正面
54,很好用。还还送了1替换装。,整体,正面
55,买完就降价啦 不开心,价格,负面
55,买完就降价啦 不开心,整体,负面
56,用了半个月了才来评价一个字好好好，值得拥有。??,整体,正面
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,使用体验,负面
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,功效,正面
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,气味,正面
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,物流,正面
58,之前用的是她家另一款，用着不错，还推荐了同事，这次买这一款试试，希望好用，物流非常快，到山西一天,物流,正面
59,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！,物流,正面
59,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！,整体,正面
60,面膜包装很好，还多送的几片，,包装,正面
61,好用，一如既往的用这个牌子,整体,正面
62,很不错，香香抹了点在手上，感觉不错的，,整体,正面
63,超喜欢，感觉无比的高大上，点32个赞！满足我的超级少女心,整体,正面
64,是正品，一直在它家买,真伪,正面
65,挺不错的，送了很多东西，婆婆妈一直用这个。,整体,正面
66,好用，卸妆效果非常好，用完会回购,功效,正面
66,好用，卸妆效果非常好，用完会回购,整体,正面
67,很好，一直以来都是用的这款面膜！,整体,正面
68,一直选择****，现在感觉**的价格优势比不过~了，只剩下次日达还能安慰一下产品挺好用，老婆很满意,整体,正面
69,非常不错噢,整体,正面
70,面膜很好用，水分充足！,成分,正面
70,面膜很好用，水分充足！,整体,正面
71,是正品，一直信赖**，可以放心购买,真伪,正面
72,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。,价格,正面
72,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。,包装,正面
72,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。,包装,负面
73,面膜比较补水，蛮好的,整体,正面
73,面膜比较补水，蛮好的,功效,正面
74,买一赠一，超值，看了一下，正好适合孩子的肤质使用，必须下手啊,价格,正面
75,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉,整体,正面
75,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉,功效,正面
75,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉,使用体验,正面
76,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑,使用体验,负面
76,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑,整体,负面
77,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**,物流,正面
78,用过***的还有一种，很好用，想试一试这一款,整体,正面
79,发货迅速而且质量不错，已经是第二次购买了,物流,正面
79,发货迅速而且质量不错，已经是第二次购买了,整体,正面
80,很好，很快，还会继续支持**。加油加油加油,整体,正面
80,很好，很快，还会继续支持**。加油加油加油,物流,正面
81,真的很好用，很自然。不油腻，好推开。用了好多年了！,使用体验,正面
81,真的很好用，很自然。不油腻，好推开。用了好多年了！,功效,正面
81,真的很好用，很自然。不油腻，好推开。用了好多年了！,整体,正面
82,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评,整体,正面
83,非常满意，非常喜欢，谢谢亲爱的卖家,整体,正面
84,好用又便宜 超级满意,整体,正面
84,好用又便宜 超级满意,价格,正面
85,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,整体,正面
85,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,物流,正面
85,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,使用体验,正面
86,非常非常的地，好用划算,整体,正面
86,非常非常的地，好用划算,价格,正面
87,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！,价格,正面
87,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！,整体,正面
88,我用了没有过敏，挺好的,使用体验,正面
88,我用了没有过敏，挺好的,整体,正面
89,还没用，感觉挺好的。快递员很敬业。,物流,正面
89,还没用，感觉挺好的。快递员很敬业。,整体,正面
90,好用，喜欢这个牌子,整体,正面
91,很多次购买了，喜欢！哈哈哈哈哈哈??,整体,正面
92,五星好评，快递和服务都好评,整体,正面
92,五星好评，快递和服务都好评,包装,正面
92,五星好评，快递和服务都好评,服务,正面
93,发货速度快，质量还可以，下次有需要下次还来。,物流,正面
93,发货速度快，质量还可以，下次有需要下次还来。,整体,正面
94,好用，服务态度好,服务,正面
94,好用，服务态度好,整体,正面
95,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?,整体,正面
95,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?,功效,正面
95,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?,物流,正面
96,产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞。,物流,正面
97,一直以来都在用这个产品，补水效果非常不错！会继续支持！,功效,正面
98,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,物流,正面
98,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,其他,正面
98,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,整体,正面
99,**快递速度快，性价比不错，好。。。。。,物流,正面
99,**快递速度快，性价比不错，好。。。。。,价格,正面
100,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠,价格,中性
100,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠,价格,正面
100,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠,整体,正面
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,整体,正面
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,使用体验,正面
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,价格,正面
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,物流,正面
102,刚上脸有点假白 半小时后就自然了,功效,负面
103,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～,整体,正面
103,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～,价格,正面
104,为**来买，还挺好用的。,整体,正面
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,价格,正面
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,功效,正面
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,使用体验,正面
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,整体,正面
106,好评，支持***，支持**的快递小哥，给快递小哥万个赞,物流,正面
107,在***买了好多单，划算！！！一直用***，趁双11多屯点东西！慢慢用！,价格,正面
108,昨天刚收到，看着不错，满意,整体,正面
109,感觉还不错啊，和我的皮肤颜色相近，喜欢！,整体,正面
109,感觉还不错啊，和我的皮肤颜色相近，喜欢！,功效,正面
110,一直在用***的面膜买了好多好多趟，用了几年快递特别快。爱你。,物流,正面
111,还不错，稍有些粘腻,整体,正面
111,还不错，稍有些粘腻,使用体验,负面
112,还可以，味道有种似曾相识,整体,正面
113,值得购买，物美价廉,价格,正面
114,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,气味,正面
114,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,包装,正面
114,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,整体,正面
115,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！,整体,正面
115,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！,价格,正面
116,已收到货，多次购买了。我个人认为还OK。用完还会再来的,整体,正面
117,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?,整体,正面
117,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?,价格,正面
118,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好,物流,正面
118,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好,整体,正面
119,喜欢。很划算,整体,正面
119,喜欢。很划算,价格,正面
120,用过一瓶了，又买的，隔离保湿效果好，不干,功效,正面
120,用过一瓶了，又买的，隔离保湿效果好，不干,使用体验,正面
121,高端霸气上档次，仔仔细细，超级喜欢，下次还回来购买！！！,整体,正面
122,这款卸妆水挺不错的，一直用这款,整体,正面
123,很喜欢这个洗面奶。清洁太给力了。洗的很干净,整体,正面
123,很喜欢这个洗面奶。清洁太给力了。洗的很干净,功效,正面
123,很喜欢这个洗面奶。清洁太给力了。洗的很干净,使用体验,正面
124,不好用，骗人的,整体,负面
125,东西不错，值得购买,整体,正面
126,用起可以，双十一买的很便宜,整体,正面
126,用起可以，双十一买的很便宜,价格,正面
127,整体描述：是***的回头客了，这次买的也很好,整体,正面
128,挺水润的，还挺亮白的，不错不错,整体,正面
128,挺水润的，还挺亮白的，不错不错,功效,正面
128,挺水润的，还挺亮白的，不错不错,使用体验,正面
129,还可以，有2个替换的,尺寸,正面
130,宝贝收到用了几天了，还可以啦，下次还会光顾,整体,正面
131,快递太给力了，晚上下的单，早上就到了，还送了2瓶小的卸妆水，可以出行方便携带啦，用了好用再来评价吧。,物流,正面
132,第一次用这个牌子的护肤品，不知道怎么样，用用看效果怎么样吧，如果可以就继续回购，物流很快。,物流,正面
133,挺好的，便宜实惠，正好遇上做活动流存了好多货，东东也不错，以后还会继续回购的。,价格,正面
133,挺好的，便宜实惠，正好遇上做活动流存了好多货，东东也不错，以后还会继续回购的。,整体,正面
134,颜色很正，好评！,功效,正面
134,颜色很正，好评！,整体,正面
135,很好便宜实惠支持**商城,整体,正面
135,很好便宜实惠支持**商城,价格,正面
136,很不错，一直用这个牌子，比较放心，希望越做越好！,整体,正面
137,昨天中午买的今天中午收到了，物流很快哦！第一次买，希望效果好用,物流,正面
138,洗面奶查了一下是正品，跟商家描述的差不多，最主要是便宜，买一送一很划算。以后买洗面奶就它了，给满分。,价格,正面
138,洗面奶查了一下是正品，跟商家描述的差不多，最主要是便宜，买一送一很划算。以后买洗面奶就它了，给满分。,整体,正面
139,紫色遮黄效果特别好，用完感觉气色都特别好,功效,正面
140,很不错，擦得均匀服帖,使用体验,正面
140,很不错，擦得均匀服帖,整体,正面
141,N次购买了，货真价实，好用,整体,正面
142,?速度好快呀，昨天晚上下的单，今天下午就到了。,物流,正面
143,**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,成分,正面
143,**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,功效,正面
144,物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,物流,正面
144,物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,整体,正面
144,物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,使用体验,正面
145,已经用的第三瓶了，以前一直用的绿色，这次换了紫色，不过还是一如既往的好用啊。美白还可以遮暇，大大的赞,整体,正面
145,已经用的第三瓶了，以前一直用的绿色，这次换了紫色，不过还是一如既往的好用啊。美白还可以遮暇，大大的赞,功效,正面
146,之前用的瓶装紫色的，不太适合我，这个很好用，喜欢，好评,整体,正面
147,给媳妇买的，媳妇说很好值得拥有。,整体,正面
148,效果真的一般，连续用了三天，皮肤早上起来都是很干的，,整体,负面
148,效果真的一般，连续用了三天，皮肤早上起来都是很干的，,使用体验,负面
149,东西正经不错，好东西和大家分享，希望你买了也会喜欢?,整体,正面
150,清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦?,使用体验,正面
150,清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦?,功效,正面
150,清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦?,气味,正面
151,香香的的肌肤是***馈赠的,气味,正面
152,这款面膜很好用不油腻感觉也好,整体,正面
152,这款面膜很好用不油腻感觉也好,使用体验,正面
153,本人敏感肌一直用的都是***，用完不紧绷。,使用体验,正面
154,这个面膜挺好用的,整体,正面
155,还可以，妈妈说好,整体,正面
156,货收到了，快递很给力，一直用这款！,物流,正面
157,第一次买，还没有使用，期待效果，就是客服回复太慢了,服务,负面
158,包装简陋，没有说明书。正品？？,包装,负面
158,包装简陋，没有说明书。正品？？,真伪,负面
159,味道清新，用着挺自然的,气味,正面
159,味道清新，用着挺自然的,功效,正面
160,挺喜欢的品质，一直都很好用,整体,正面
161,面膜很好，很补水，用完了还会在买,功效,正面
161,面膜很好，很补水，用完了还会在买,整体,正面
162,遮瑕效果：好多推荐这款的，买来试试，混干皮用下来有点干，加了精华再上脸好点，哑光质感，蛮好。,使用体验,负面
162,遮瑕效果：好多推荐这款的，买来试试，混干皮用下来有点干，加了精华再上脸好点，哑光质感，蛮好。,使用体验,正面
162,遮瑕效果：好多推荐这款的，买来试试，混干皮用下来有点干，加了精华再上脸好点，哑光质感，蛮好。,整体,正面
163,面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意！,包装,正面
163,面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意！,物流,正面
163,面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意！,整体,正面
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,功效,负面
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,功效,正面
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,功效,中性
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,使用体验,正面
165,东西很好用哦,整体,正面
166,慢慢的一箱子。哈哈，太赞了,整体,正面
167,不错的面膜，还是买一赠一，用完还会再来购买！！！不错的一次购物！！,整体,正面
168,**送货超级快！还没用！是正品！以后还会购买的！,物流,正面
168,**送货超级快！还没用！是正品！以后还会购买的！,真伪,正面
169,喜欢，喜欢，用完皮肤很润，也很好吸收，一直在这里买！,整体,正面
169,喜欢，喜欢，用完皮肤很润，也很好吸收，一直在这里买！,使用体验,正面
170,包装很好，面膜还可以吧！帮老妈买的。,包装,正面
171,效果不错，下次在给我媳妇买。,整体,正面
172,很棒，买一送一，,整体,正面
173,质量好，升级版不干燥。给个五星好评吧。,整体,正面
173,质量好，升级版不干燥。给个五星好评吧。,使用体验,正面
174,根本卸不干净，脸上还有点痒,使用体验,负面
174,根本卸不干净，脸上还有点痒,功效,负面
175,防晒效果：还没有使用，囤货试试看,功效,中性
176,上次买BB霜卖家送了两张面膜，觉得蛮好用的，就买了一些,整体,正面
177,一直用的***，比较清爽，喜欢,使用体验,正面
177,一直用的***，比较清爽，喜欢,整体,正面
178,颜色好看，服务态度很好。物流快速。希望好用，下次再买。。。,其他,正面
178,颜色好看，服务态度很好。物流快速。希望好用，下次再买。。。,服务,正面
178,颜色好看，服务态度很好。物流快速。希望好用，下次再买。。。,物流,正面
179,还没有用，用过之后再来评价，信赖的**，一直很棒。。。。,整体,正面
180,看起来不错,整体,正面
181,朋友给推荐的，很好用，隔离效果不错,整体,正面
181,朋友给推荐的，很好用，隔离效果不错,功效,正面
182,蛮不错的，期待已久，看有活动秒下单?,价格,正面
182,蛮不错的，期待已久，看有活动秒下单?,整体,正面
183,很不错，清澈,整体,正面
183,很不错，清澈,使用体验,正面
184,大姐让我帮着买的，我自己也在用，擦在脸上很自然，和皮肤很贴，脸也显得有光泽，很好！,功效,正面
184,大姐让我帮着买的，我自己也在用，擦在脸上很自然，和皮肤很贴，脸也显得有光泽，很好！,使用体验,正面
184,大姐让我帮着买的，我自己也在用，擦在脸上很自然，和皮肤很贴，脸也显得有光泽，很好！,整体,正面
185,新包装样式也很喜欢,包装,正面
186,双十一很划算，物流也很给力,物流,正面
186,双十一很划算，物流也很给力,价格,正面
187,非常不错，老客户了，他家保湿真的好，我还是容易过敏的皮肤，用他家的没事,功效,正面
187,非常不错，老客户了，他家保湿真的好，我还是容易过敏的皮肤，用他家的没事,整体,正面
188,卖家服务态度很好，宝贝很不错  物流也很快,服务,正面
188,卖家服务态度很好，宝贝很不错  物流也很快,物流,正面
188,卖家服务态度很好，宝贝很不错  物流也很快,整体,正面
189,喜欢喜欢 特别补水 真的很耐斯～,整体,正面
189,喜欢喜欢 特别补水 真的很耐斯～,功效,正面
190,还么用，看着不错，期待效果，物流超级给力！,整体,正面
190,还么用，看着不错，期待效果，物流超级给力！,物流,正面
191,感觉不错，下次买其他的试试?,整体,正面
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,包装,正面
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,其他,正面
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,使用体验,正面
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,功效,正面
193,不油腻，卸妆也很干净，双11活动买的，很划算,整体,正面
193,不油腻，卸妆也很干净，双11活动买的，很划算,功效,正面
193,不油腻，卸妆也很干净，双11活动买的，很划算,价格,正面
194,一如既往的好用，忘记是第几次买了。,整体,正面
195,面膜很好用，**平台有保障，很补水，效果不错的。,整体,正面
195,面膜很好用，**平台有保障，很补水，效果不错的。,功效,正面
196,不错，下次再来,整体,正面
197,用起来了还可以，好评！,整体,正面
198,好用实惠，好用，值得购买，,整体,正面
198,好用实惠，好用，值得购买，,价格,正面
199,这次的面膜用着过敏了！一直都在用这个牌子！不知道为什么会过敏！,使用体验,正面
200,用了，效果很好，白皙水嫩擦后脸上没有干粉。好评,整体,正面
200,用了，效果很好，白皙水嫩擦后脸上没有干粉。好评,功效,正面
200,用了，效果很好，白皙水嫩擦后脸上没有干粉。好评,使用体验,正面
201,洗面奶收到，今天用了，洗完后真的一点也不紧绷，超值了！,使用体验,正面
201,洗面奶收到，今天用了，洗完后真的一点也不紧绷，超值了！,价格,正面
202,每天需要化妆，买了很多卸妆水都不行。只有这款卸妆水很好用，清爽不刺激。,整体,正面
202,每天需要化妆，买了很多卸妆水都不行。只有这款卸妆水很好用，清爽不刺激。,使用体验,正面
203,非常好用！！！特别补水，我干皮用着很不错,整体,正面
203,非常好用！！！特别补水，我干皮用着很不错,功效,正面
204,包装很高大尚！还没用，但看起来就很好。还送了化妆水，很喜欢！,包装,正面
205,收到马上试了一下，卸妆效果很好，很干净，但是不刺激皮肤，挺舒服的，脸也感觉滑滑的，很划算。,功效,正面
205,收到马上试了一下，卸妆效果很好，很干净，但是不刺激皮肤，挺舒服的，脸也感觉滑滑的，很划算。,使用体验,正面
205,收到马上试了一下，卸妆效果很好，很干净，但是不刺激皮肤，挺舒服的，脸也感觉滑滑的，很划算。,价格,正面
206,之前就用过这是第二次购买了！好用,整体,正面
207,很好用，喜欢哦,整体,正面
208,做了功课才来买的，成分很安全，用了一片后感觉效果不错，以后要常用啦,成分,正面
208,做了功课才来买的，成分很安全，用了一片后感觉效果不错，以后要常用啦,整体,正面
209,拿回来用了几片，保温效果挺好的，第一次用皮肤也没有出现过敏现象。,功效,正面
209,拿回来用了几片，保温效果挺好的，第一次用皮肤也没有出现过敏现象。,使用体验,正面
210,赠品两贴，搜了一下9.9一贴，老价格来说应该不差,整体,正面
211,还没用，用后再来追加，看着不错??,整体,正面
212,这个是第二次买了，活动买很划算的，面膜也很好用,价格,正面
212,这个是第二次买了，活动买很划算的，面膜也很好用,整体,正面
213,物美价廉，味道不错。下次活动在买,气味,正面
213,物美价廉，味道不错。下次活动在买,价格,正面
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,物流,正面
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,成分,正面
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,使用体验,正面
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,整体,正面
215,还是有点白！擦的  所以我就只擦这个. 不用再擦bb了,使用体验,中性
216,超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,气味,正面
216,超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,整体,正面
217,还没有用，等用过后再评价！包装太简陋了，连个像样的包装盒都没有！,包装,负面
218,不喜欢，感觉和洗头发的没有区别,整体,负面
219,油,使用体验,负面
